rating,review,avg_word,word_count
5,"tidak,ada,ulas",4.0,3
5,"puas,kecil,tapi,kencang",5.0,4
1,"barang,yang,datang,bukan,baracuda,tiga,lima,tujuh,tujuh,rpm,tapi,pipeline,hd",4.923076923076923,13
5,"terima,kasih,barang,sudah,sampai,hari,langsung,sampai,untuk,sama,jakarta,kemas,rapi,thankyou,buat,lazada,dan,kenkez",5.444444444444445,17
5,"barang,bagus,pengirman,cepat,mantap,deh",5.666666666666667,6
5,"so,far,puas,dengan,produk,ini,harga,dan,fasilitas,yang,dapat,sangat,banding,kirim,juga,tidak,sampai,hari,terima,kasih,lazada",4.9523809523809526,20
5,"mesan,tanggal,tujuh,atau,empat,atau,lima,belas,sampai,barang,tanggal,sembilan,atau,empat,atau,lima,belas,cepat,sekali,yah,barang,sesuai,dengan,gambar,yang,ada,di,web,coba,telepon,ke,suplier,untuk,ta,cara,pakai,nyata,telpon,yang,cantum,nyambung,dan,sambut,baik,oleh,layan,puas,dengan,layan,terima,kasih,lazada",4.9423076923076925,51
5,"mantan,mantan,memang,keren,abiz,cetar,bahana,dan,hmpir,semua,orang,kagum,sama,cara,kerja,alhamdulilah,a,aku,puas,sekali,sama,produk,yang,satu,ini,terima,kasih,kenkez,jadi,tagih,ini,beli,di,lazada",4.764705882352941,33
2,"saya,pesan,hardisk,ini,tangal,juni,dengan,fasilitas,gosend,sampai,hari,yang,sama,tapi,sampai,sekarang,belum,sampai,mohon,segera,di,proses",5.2727272727272725,22
5,"ukur,lumayan,mungil,tapi,pas,buat,pasang,tenaga,bank,dan,telepon,seluler,jadi,aman,simpan",5.0,13
4,"barang,oke,packaging,rapi,dan,kirim,cepat,beli,hd,ini,pas,lagi,harbolnas,sebelas,des,kira,akan,sampai,lama,nyata,tanggal,empat,belas,sudah,sampai,terima,kasih,jvp,dan,lazada",4.8,29
4,"semua,jalan,terima,kasih,lazada",5.4,4
1,"sudah,lewat,batas,kirim,barang,belum,sampai",5.285714285714286,7
5,"barangx,bagus,sesuai,gambar,makas",5.8,5
2,"barang,yang,datang,hd,transcend,lima,mtiga,warna,biru,bukan,lima,htiga,purple",5.0,13
5,"mantap,sesuai,ekspentasi",7.333333333333333,3
5,"great,barang",5.5,2
5,"lacie,tb,mantap",4.333333333333333,3
5,"kamu,won,t,regret,if,kamu,buy,it,it,s,durable,dan,sangat,easy,to,use,satisfied,dan,terima,kasih,lazada",3.9047619047619047,20
3,"so,far,found,oke",3.25,4
5,"kualitas,oke,mantap",5.666666666666667,3
4,"barang,bisa,duganakan,cara,normal,seperti,harus",5.857142857142857,7
5,"pada,akhir,hardisk,wd,ekternal,warna,biru,saya,datang,xd,sempat,khawatir,juga,saya,ingat,saya,tidak,pernah,beli,barang,daring,pada,hari,wekend,kecuali,po,saking,khawatir,pesan,saya,sudah,kirim,atau,belum,saya,sampai,live,chat,dengan,pihak,lazada,untuk,tanya,posisi,hardisk,pesan,saya,ini,tertawa,untuk,kirim,masuk,lama,iya,padahal,masih,wilayah,jakarta,juga,ckckckck,mungkin,ini,efek,belanja,daring,di,hari,wekend,tapi,walau,lambat,dari,hari,yang,dicantumin,oleh,lazada,dan,di,dalam,nota,beli,saya,tetap,rasa,lega,karena,barang,pesan,saya,sudah,sampai,dengan,sangat,aman,ingat,bungkus,barang,sangat,rapi,sekali,hinga,harus,mengunakan,gunting,untuk,buka,di,tambah,dengan,buble,bungkus,yang,beri,kesan,empuk,hinga,tambah,yakin,saya,kalau,barang,ini,akan,sangat,aman,saya,juga,sudah,coba,hardisk,dan,beneran,tb,lho,walau,tertawa,sisa,satu,satu,tb,karena,sisa,makan,untuk,sistem,tapi,dengan,harga,rp,satu,lima,puluh,delapan,puluh,bisa,bilang,sangat,nila,it,dapat,hardisk,tb,p,s,saya,beli,dengan,harga,segitu,karena,pakai,kode,voucher,potong,diskon,dari,lazada,dari,harga,asli,kalau,tidak,salah,rp,satu,tiga,ratus,lima,puluh,sembilan,nol,lihat,ke,atas,fufufufufu,gakmaurugijugadia,tambah,dengan,bonus,yang,tiga,kali,plus,pouch,wd,memo,wd,dan,pen,wd,semua,ada,tulis,wd,tidak,tahu,asli,atau,tidak,tapi,moga,saja,asli,dari,wd,wkwkwkwk,tambah,tidak,rugi,nihanakemangbener,benar,cara,seluruh,saya,puas,sekali,dengan,barang,yang,saya,beli,ini,karena,itu,saya,sedia,tulis,ulas,panjang,panjang,begini,bukan,memang,selalu,nulis,ulas,panjang,panjang,iya,plakplakplak,p,s,saya,sempat,bingung,dengan,tulis,nota,di,dalam,pada,bagi,kertas,putih,yang,tulis,nama,kirim,dan,identitas,terima,saya,cari,cari,sampai,bego,di,dalam,bungkus,kok,tidak,ada,hubung,iq,saya,tinggi,plak,jadi,saya,pikir,pasti,di,balikatau,di,dalam,kertas,ini,ini,dan,dugan,sayabenar,nyata,kertas,putih,itu,adalah,amplop,yang,isi,kartu,nama,sih,jual,dan,nota,beli,wkwkwkwkwk,anda,sunguh,kreatif,bagai,dagang,baru,kali,ini,saya,dibegituin,untung,belum,saya,buang,itu,bungkus,at,last,but,tidak,least,terima,kasih,kamu,ezy,com,saya,pasti,akan,pesan,hardisk,lagi,ke,sini,kalau,kapasitas,hardisk,saya,sudah,penuh,tapi,tidak,tahu,kapan,penuh,mungkin,masih,agak,sangat,lama",4.862433862433862,376
5,"hardisk,masih,awet,sampai,skrng",5.4,5
5,"wow,kualitas,barang,oke,sekali,layan,juga,oke,terima,kasih",4.9,9
4,"sempat,khawatir,tidak,muat,hard,disk,eksternal,saya,tapi,nyata,muat,barang,bagus,dengan,bahan,yang,sesuai",5.235294117647059,17
5,"barang,sudah,datang,dan,fungsi,baik,sayang,kabel,krg,umum,di,tempat,saya,jadi,kalau,rsk,masih,cara,cdngan,wlo,smpe,sekarang,masih,baik,baik,saja",4.576923076923077,26
4,"kirim,cepat,dan,rapi,barang,terima,baik,barang,telah,guna,dengan,hasil,mantap",5.0,13
5,oke,3.0,1
4,"kata,orang,rumah,barang,sudah,datang,belum,cek,but,thks",4.6,10
4,"pas,tahun,mati,total,pakai,normal,tujuh,jam,hari",4.444444444444445,9
1,"saya,kecewa,beli,memory,kartu,sandisk,delapan,gb,smpe,rumah,memory,tidak,bisa,dipake,buruk,sekali,anda",5.0588235294117645,17
3,"mas,kq,pouchx,lbih,kecil,dari,ukur,yang,di,cntumkan,yk,ukuranx,hanya,satu,satu,cmxtujuh,cuma",4.470588235294118,17
1,"kirim,molor,tiga,mingu,saya,kecewa",4.833333333333333,6
4,"fungsi,dengan,baik",5.333333333333333,3
5,"baru,sempat,ulas,di,sini,pesan,tanggal,sembilan,belas,sampai,satu,emas,baik,dengan,bublewrap,dan,dapat,harga,murah,dari,yang,lain,dengan,spesifikasi,yang,sama,barang,asli,made,in,thailand,terima,kasih,kenkez,dan,lazada",5.083333333333333,34
1,"kenapa,belum,sampai,juga,dari,tangal,lima,belas,desember,mesan",5.3,10
5,"barang,fungsi,dengan,baik",5.5,4
5,"barang,oke",4.5,2
4,"fungsi,baik",5.0,2
4,"kok,lama,iya",3.3333333333333335,3
5,rekomen,7.0,1
5,"cocok,sekali",5.5,2
5,"produk,hgst,drive,inside,model,wdelapan,puluh,ezx,lima,ribu,empat,ratus,rpm,tiga,lima,drive,western,digital,bought,hgst,hitachi,global,storage,technologies,back,in,dua,ratus,satu,dua,ratus,satu,combining,yang,two,companies,technologies,together,kamu,get,everything,kamu,ned,inside,yang,box,yang,drive,tenaga,cable,dan,usb,yang,drive,comes,dengan,acronis,true,image,wd,edition,software,which,gives,kamu,ned,untuk,making,system,dan,file,backups,dengan,including,scheduled,maintenance,it,has,usbtiga,conection,which,adalah,compatible,dengan,usb,usb,seler,sangat,prompt,respon,shiped,lanjut,day,dengan,lazada,expres",5.375,96
5,"barang,terima,dalam,adan,baik,fungsi,dengan,bagus",5.25,8
5,"punya,kok,tidak,ada,kartu,garansi,dan,segel,juragan,nanti,buat,klaim,garansi,bagaimana,cara,iya",5.0,16
