rating,review,avg_word,word_count
5,"['tidak', 'ada', 'ulasan']",4.666666666666667,3
5,"['puas', 'kecil', 'tapi', 'kencang']",5.0,4
1,"['barang', 'yang', 'datang', 'bukan', 'baracuda', 'tiga', 'lima', 'tujuh', 'tujuh', '0rpm', 'tapi', 'pipeline', 'hd']",5.0,13
5,"['terima kasih', 'barang', 'sudah', 'sampai', 'sehari', 'langsung', 'sampai', 'untuk', 'sesama', 'jakarta', 'kemasan', 'rapi', 'thankyou', 'buat', 'lazada', 'dan', 'kenkez']",6.176470588235294,17
5,"['barang', 'bagus', 'pengirman', 'cepat', 'mantap', 'deh']",5.666666666666667,6
5,"['so', 'far', 'puas', 'dengan', 'produk', 'ini', 'harga', 'dan', 'fasilitas', 'yang', 'didapat', 'sangat', 'sebanding', 'pengiriman', 'juga', 'tidak', 'sampai', 'hari', 'terima kasih', 'lazada']",5.7,20
5,"['pemesanan', 'tanggal', 'tujuh', 'atau', 'empat', 'atau', 'lima', 'belas', 'sampai', 'barang', 'tanggal', 'sembilan', 'atau', 'empat', 'atau', 'lima', 'belas', 'cepat', 'sekali', 'yah', 'barang', 'sesuai', 'dengan', 'gambar', 'yang', 'ada', 'di', 'web', 'coba', 'telepon', 'ke', 'suplier', 'untuk', 'ta', 'cara', 'pakai', 'ternyata', 'telelpon', 'yang', 'tercantum', 'nyambung', 'dan', 'disambut', 'baik', 'oleh', 'pelayan', 'puas', 'dengan', 'pelayanan', 'terima kasih', 'lazada']",5.450980392156863,51
5,"['mantan', 'mantan', 'memang', 'keren', 'abiz', 'cetar', 'membahana', 'dan', 'hmpir', 'semua', 'orang', 'kagum', 'sama', 'cara', 'kerja', 'alhamdulilah', 'a', 'aku', 'puas', 'sekali', 'sama', 'produk', 'yang', 'satu', 'ini', 'terima kasih', 'kenkez', 'jadi', 'ketagihan', 'ini', 'beli', 'di', 'lazada']",5.151515151515151,33
2,"['saya', 'pesan', 'hardisk', 'ini', 'tangal', 'juni', 'dengan', 'fasilitas', 'gosend', 'sampai', 'dihari', 'yang', 'sama', 'tapi', 'sampai', 'sekarang', 'belum', 'sampai', 'mohon', 'segera', 'di', 'proses']",5.363636363636363,22
5,"['ukuran', 'lumayan', 'mungil', 'tapi', 'pas', 'buat', 'pasangan', ' power bank', 'dan', 'telepon seluler', 'jadi', 'aman', 'tersimpan']",6.461538461538462,13
4,"['barang', 'oke', 'packaging', 'rapi', 'dan', 'pengiriman', 'cepat', 'beli', 'hd', 'ini', 'pas', 'lagi', 'harbolnas', 'sebelas', 'des', 'dikira', 'akan', 'sampai', 'lama', 'ternyata', 'tanggal', 'empat', 'belas', 'sudah', 'sampai', 'terima kasih', 'jvp', 'dan', 'lazada']",5.344827586206897,29
4,"['semua', 'berjalan', 'terima kasih', 'lazada']",7.75,4
1,"['sudah', 'lewat', 'batas', 'pengiriman', 'barang', 'belum', 'sampai']",6.0,7
5,"['barangx', 'bagus', 'sesuai', 'gambar', 'makasi']",6.0,5
2,"['barang', 'yang', 'datang', 'hd', 'transcend', 'lima', 'mtiga', 'warna', 'biru', 'bukan', 'lima', 'htiga', 'purple']",5.0,13
5,"['mantap', 'sesuai', 'ekspentasi']",7.333333333333333,3
5,"['great', 'barang']",5.5,2
5,"['lacie', 'tb', 'mantap']",4.333333333333333,3
5,"['kamu', 'won', 't', 'regret', 'if', 'kamu', 'buy', 'it', 'it', 's', 'durable', 'dan', 'sangat', 'easy', 'to', 'use', 'satisfied', 'dan', 'terima kasih', 'lazada']",4.15,20
3,"['so', 'far', 'found', 'oke']",3.25,4
5,"['kualitas', 'oke', 'mantap']",5.666666666666667,3
4,"['barang', 'bisa', 'duganakan', 'secara', 'normal', 'seperti', 'seharus']",6.428571428571429,7
5,"['pada', 'akhir', 'hardisk', 'wd', 'ekternal', 'warna', 'biru', 'saya', 'datang', 'xd', 'sempat', 'khawatir', 'juga', 'saya', 'mengingat', 'saya', 'tidak', 'pernah', 'membeli', 'barang', 'daring', 'pada', 'hari', 'wekend', 'kecuali', 'po', 'saking', 'khawatir', 'pesanan', 'saya', 'sudah', 'dikirim', 'atau', 'belum', 'saya', 'sampai', 'live', 'chat', 'dengan', 'pihak', 'lazada', 'untuk', 'menanyakan', 'posisi', 'hardisk', 'pesanan', 'saya', 'ini', 'tertawa', 'untuk', 'pengiriman', 'termasuk', 'lama', 'iya', 'padahal', 'masih', 'wilayah', 'jakarta', 'juga', 'ckckckck', 'mungkin', 'ini', 'efek', 'belanja', 'daring', 'di', 'hari', 'wekend', 'tapi', 'walau', 'terlambat', 'dari', 'hari', 'yang', 'dicantumin', 'oleh', 'lazada', 'dan', 'di', 'dalam', 'nota', 'pembelian', 'saya', 'tetap', 'merasa', 'lega', 'karena', 'barang', 'pesanan', 'saya', 'sudah', 'sampai', 'dengan', 'sangat', 'aman', 'mengingat', 'pembungkusan', 'barang', 'sangat', 'rapi', 'sekali', 'hinga', 'harus', 'mengunakan', 'gunting', 'untuk', 'membuka', 'di', 'tambah', 'dengan', 'buble', 'bungkus', 'yang', 'memberi', 'kesan', 'empuk', 'hinga', 'tambah', 'yakin', 'saya', 'kalau', 'barang', 'ini', 'akan', 'sangat', 'aman', 'saya', 'juga', 'sudah', 'mencoba', 'hardisk', 'dan', 'beneran', 'tb', 'lho', 'walau', 'tertawa', 'tersisa', 'satu', '8satu', 'tb', 'karena', 'sisa', 'termakan', 'untuk', 'sistem', 'tapi', 'dengan', 'harga', 'rp', 'satu', 'lima', 'puluh', 'delapan', 'puluh', 'bisa', 'dibilang', 'sangat', 'bernilai', 'it', 'mendapat', 'hardisk', 'tb', 'p', 's', 'saya', 'beli', 'dengan', 'harga', 'segitu', 'karena', 'memakai', 'kode', 'voucher', 'potongan', 'diskon', 'dari', 'lazada', 'dari', 'harga', 'asli', 'kalau', 'tidak', 'salah', 'rp', 'satu', 'tiga', 'ratus', 'lima', 'puluh', 'sembilan', 'nol', 'lihat', 'ke', 'atas', 'fufufufufu', 'gakmaurugijugadia', 'ditambah', 'dengan', 'bonus', 'yang', 'tiga', 'kali', 'plus', 'pouch', 'wd', 'memo', 'wd', 'dan', 'pen', 'wd', 'semua', 'ada', 'tulisan', 'wd', 'tidak', 'tahu', 'asli', 'atau', 'tidak', 'tapi', 'semoga', 'saja', 'asli', 'dari', 'wd', 'wkwkwkwk', 'tambah', 'tidak', 'rugilah', 'nihanakemangbener', 'benar', 'secara keseluruhan', 'saya', 'puas', 'sekali', 'dengan', 'barang', 'yang', 'saya', 'beli', 'ini', 'karena', 'itulah', 'saya', 'bersedia', 'menulis', 'ulasan', 'panjang', 'panjang', 'begini', 'bukan', 'memang', 'selalu', 'nulis', 'ulasan', 'panjang', 'panjang', 'iya', 'plakplakplak', 'p', 's', 'saya', 'sempat', 'bingung', 'dengan', 'tulisan', 'nota', 'di', 'dalam', 'pada', 'bagian', 'kertas', 'putih', 'yang', 'bertulisan', 'nama', 'pengirim', 'dan', 'identitas', 'penerima', 'saya', 'cari', 'cari', 'sampai', 'bego', 'di', 'dalam', 'bungkusan', 'kok', 'tidak', 'ada', 'berhubung', 'iq', 'saya', 'tinggi', 'plak', 'jadi', 'saya', 'berpikiran', 'pasti', 'di', 'balikatau', 'di', 'dalam', 'kertas', 'ini', 'ini', 'dan', 'dugan', 'sayabenar', 'ternyata', 'kertas', 'putih', 'itu', 'adalah', 'amplop', 'yang', 'berisi', 'kartu', 'nama', 'sih', 'penjual', 'dan', 'nota', 'pembelian', 'wkwkwkwkwk', 'anda', 'sunguh', 'kreatif', 'sebagai', 'pedagang', 'baru', 'kali', 'ini', 'saya', 'dibegituin', 'untung', 'belum', 'saya', 'buang', 'itu', 'bungkusan', 'at', 'last', 'but', 'tidak', 'least', 'terima kasih', 'kamu', 'ezy', 'com', 'saya', 'pasti', 'akan', 'pesan', 'hardisk', 'lagi', 'ke', 'sini', 'kalau', 'kapasitas', 'hardisk', 'saya', 'sudah', 'penuh', 'tapi', 'tidak', 'tahu', 'kapan', 'penuh', 'mungkin', 'masih', 'agak', 'sangat', 'lama']",5.284574468085107,376
5,"['hardisk', 'masih', 'awet', 'sampai', 'skrng']",5.4,5
5,"['wow', 'kualitas', 'barang', 'oke', 'sekali', 'pelayanan', 'juga', 'oke', 'terima kasih']",6.0,9
