rating,review,avg_word,word_count
5,"'tidak','ada','ulasan'",6.666666666666667,3
5,"'puas','kecil','tapi','kencang'",7.0,4
1,"'barang','yang','datang','bukan','baracuda','tiga','lima','tujuh','tujuh',',rpm','tapi','pipeline','hd'",6.428571428571429,14
5,"'terima,kasih','barang','sudah','sampai','sehari','langsung','sampai','untuk','sesama','jakarta','kemasan','rapi','thankyou','buat','lazada','dan','kenkez'",7.666666666666667,18
5,"'barang','bagus','pengirman','cepat','mantap','deh'",7.666666666666667,6
5,"'so','far','puas','dengan','produk','ini','harga','dan','fasilitas','yang','didapat','sangat','sebanding','pengiriman','juga','tidak','sampai','hari','terima,kasih','lazada'",7.285714285714286,21
5,"'pemesanan','tanggal','tujuh','atau','empat','atau','lima','belas','sampai','barang','tanggal','sembilan','atau','empat','atau','lima','belas','cepat','sekali','yah','barang','sesuai','dengan','gambar','yang','ada','di','web','coba','telepon','ke','suplier','untuk','ta','cara','pakai','ternyata','telelpon','yang','tercantum','nyambung','dan','disambut','baik','oleh','pelayan','puas','dengan','pelayanan','terima,kasih','lazada'",7.288461538461538,52
5,"'mantan','mantan','memang','keren','abiz','cetar','membahana','dan','hmpir','semua','orang','kagum','sama','cara','kerja','alhamdulilah','a','aku','puas','sekali','sama','produk','yang','satu','ini','terima,kasih','kenkez','jadi','ketagihan','ini','beli','di','lazada'",6.911764705882353,34
2,"'saya','pesan','hardisk','ini','tangal','juni','dengan','fasilitas','gosend','sampai','dihari','yang','sama','tapi','sampai','sekarang','belum','sampai','mohon','segera','di','proses'",7.363636363636363,22
5,"'ukuran','lumayan','mungil','tapi','pas','buat','pasangan',',tenaga,bank','dan','telepon,seluler','jadi','aman','tersimpan'",6.75,16
4,"'barang','oke','packaging','rapi','dan','pengiriman','cepat','beli','hd','ini','pas','lagi','harbolnas','sebelas','des','dikira','akan','sampai','lama','ternyata','tanggal','empat','belas','sudah','sampai','terima,kasih','jvp','dan','lazada'",7.066666666666666,30
4,"'semua','berjalan','terima,kasih','lazada'",7.6,5
1,"'sudah','lewat','batas','pengiriman','barang','belum','sampai'",8.0,7
5,"'barangx','bagus','sesuai','gambar','makasi'",8.0,5
2,"'barang','yang','datang','hd','transcend','lima','mtiga','warna','biru','bukan','lima','htiga','purple'",7.0,13
5,"'mantap','sesuai','ekspentasi'",9.333333333333334,3
5,"'great','barang'",7.5,2
5,"'lacie','tb','mantap'",6.333333333333333,3
5,"'kamu','won','t','regret','if','kamu','buy','it','it','s','durable','dan','sangat','easy','to','use','satisfied','dan','terima,kasih','lazada'",5.809523809523809,21
3,"'so','far','found','oke'",5.25,4
5,"'kualitas','oke','mantap'",7.666666666666667,3
