rating,review,avg_word,word_count
5,"'tidak', 'ada', 'ulasan'",7.333333333333333,3
5,"'puas', 'kecil', 'tapi', 'kencang'",7.75,4
1,"'barang', 'yang', 'datang', 'bukan', 'baracuda', 'tiga', 'lima', 'tujuh', 'tujuh', ' rpm', 'tapi', 'pipeline', 'hd'",7.923076923076923,13
5,"'terima kasih', 'barang', 'sudah', 'sampai', 'sehari', 'langsung', 'sampai', 'untuk', 'sesama', 'jakarta', 'kemasan', 'rapi', 'thankyou', 'buat', 'lazada', 'dan', 'kenkez'",9.117647058823529,17
5,"'barang', 'bagus', 'pengirman', 'cepat', 'mantap', 'deh'",8.5,6
5,"'so', 'far', 'puas', 'dengan', 'produk', 'ini', 'harga', 'dan', 'fasilitas', 'yang', 'didapat', 'sangat', 'sebanding', 'pengiriman', 'juga', 'tidak', 'sampai', 'hari', 'terima kasih', 'lazada'",8.65,20
5,"'pemesanan', 'tanggal', 'tujuh', 'atau', 'empat', 'atau', 'lima', 'belas', 'sampai', 'barang', 'tanggal', 'sembilan', 'atau', 'empat', 'atau', 'lima', 'belas', 'cepat', 'sekali', 'yah', 'barang', 'sesuai', 'dengan', 'gambar', 'yang', 'ada', 'di', 'web', 'coba', 'telepon', 'ke', 'suplier', 'untuk', 'ta', 'cara', 'pakai', 'ternyata', 'telelpon', 'yang', 'tercantum', 'nyambung', 'dan', 'disambut', 'baik', 'oleh', 'pelayan', 'puas', 'dengan', 'pelayanan', 'terima kasih', 'lazada'",8.431372549019608,51
5,"'mantan', 'mantan', 'memang', 'keren', 'abiz', 'cetar', 'membahana', 'dan', 'hmpir', 'semua', 'orang', 'kagum', 'sama', 'cara', 'kerja', 'alhamdulilah', 'a', 'aku', 'puas', 'sekali', 'sama', 'produk', 'yang', 'satu', 'ini', 'terima kasih', 'kenkez', 'jadi', 'ketagihan', 'ini', 'beli', 'di', 'lazada'",8.121212121212121,33
2,"'saya', 'pesan', 'hardisk', 'ini', 'tangal', 'juni', 'dengan', 'fasilitas', 'gosend', 'sampai', 'dihari', 'yang', 'sama', 'tapi', 'sampai', 'sekarang', 'belum', 'sampai', 'mohon', 'segera', 'di', 'proses'",8.318181818181818,22
5,"'ukuran', 'lumayan', 'mungil', 'tapi', 'pas', 'buat', 'pasangan', ' power bank', 'dan', 'telepon seluler', 'jadi', 'aman', 'tersimpan'",9.384615384615385,13
4,"'barang', 'oke', 'packaging', 'rapi', 'dan', 'pengiriman', 'cepat', 'beli', 'hd', 'ini', 'pas', 'lagi', 'harbolnas', 'sebelas', 'des', 'dikira', 'akan', 'sampai', 'lama', 'ternyata', 'tanggal', 'empat', 'belas', 'sudah', 'sampai', 'terima kasih', 'jvp', 'dan', 'lazada'",8.310344827586206,29
4,"'semua', 'berjalan', 'terima kasih', 'lazada'",10.5,4
1,"'sudah', 'lewat', 'batas', 'pengiriman', 'barang', 'belum', 'sampai'",8.857142857142858,7
5,"'barangx', 'bagus', 'sesuai', 'gambar', 'makasi'",8.8,5
2,"'barang', 'yang', 'datang', 'hd', 'transcend', 'lima', 'mtiga', 'warna', 'biru', 'bukan', 'lima', 'htiga', 'purple'",7.923076923076923,13
5,"'mantap', 'sesuai', 'ekspentasi'",10.0,3
5,"'great', 'barang'",8.0,2
5,"'lacie', 'tb', 'mantap'",7.0,3
5,"'kamu', 'won', 't', 'regret', 'if', 'kamu', 'buy', 'it', 'it', 's', 'durable', 'dan', 'sangat', 'easy', 'to', 'use', 'satisfied', 'dan', 'terima kasih', 'lazada'",7.1,20
3,"'so', 'far', 'found', 'oke'",6.0,4
5,"'kualitas', 'oke', 'mantap'",8.333333333333334,3
4,"'barang', 'bisa', 'duganakan', 'secara', 'normal', 'seperti', 'seharus'",9.285714285714286,7
